Date,Stock_name,Open,High,Low,Close,Adj_Close,Volume
2021-08-09,MSFT,289.75,291.55,287.81,288.33,276.70935,16117600
2021-08-09,SPY,442.46,442.8,441.31,442.13,413.22827,41222600
2021-08-10,AAPL,146.44,147.71,145.3,145.6,142.13655,69023104
2021-08-10,MSFT,288.8,289.25,285.2,286.44,274.8955,18616600
2021-08-10,SPY,442.61,443.44,441.88,442.68,413.74228,43339300
2021-08-11,AAPL,146.05,146.72,145.53,145.86,142.39034,48493500
2021-08-11,MSFT,287.21,288.66,285.86,286.95,275.38498,13955900
2021-08-11,SPY,443.82,443.88,442.62,443.78,414.77048,44034300
2021-08-12,AAPL,146.19,149.05,145.84,148.89,145.34822,72282600
2021-08-12,MSFT,286.63,289.97,286.34,289.81,278.12973,14561300
2021-08-12,SPY,443.62,445.26,442.66,445.11,416.01346,38909400
2021-08-13,AAPL,148.97,149.44,148.27,149.1,145.55328,59375000
2021-08-13,MSFT,289.48,292.9,289.3,292.85,281.04724,18249000
2021-08-13,SPY,445.59,445.94,445.07,445.92,416.7706,39470300
2021-08-16,AAPL,148.54,151.19,146.47,151.12,147.52519,103296000
2021-08-16,MSFT,293.19,294.82,290.02,294.6,282.72665,22507600
2021-08-16,SPY,444.53,447.11,442.87,446.97,417.75192,73740000
2021-08-17,AAPL,150.23,151.68,149.09,150.19,146.61732,92229696
2021-08-17,MSFT,292.39,293.43,291.08,293.08,281.2679,20075300
2021-08-17,SPY,444.24,444.96,440.85,444.04,415.01346,92673904
2021-08-18,AAPL,149.8,150.72,146.15,146.36,142.87843,86326000
2021-08-18,MSFT,292.04,294.82,290.27,290.73,279.54684,21813000
2021-08-18,SPY,442.96,444.63,438.92,439.18,410.47107,89351904
2021-08-19,AAPL,145.03,148,144.5,146.7,143.21033,86960304
2021-08-19,MSFT,288.69,297.47,288.64,296.77,285.35443,29850500
2021-08-19,SPY,436.27,441.14,436.12,439.86,411.10672,92812200
2021-08-20,AAPL,147.44,148.5,146.78,148.19,144.6649,60549600
2021-08-20,MSFT,299.72,305.84,298.06,304.36,292.65247,40817600
2021-08-20,SPY,440.23,443.71,439.71,443.36,414.3778,72008704
2021-08-23,AAPL,148.31,150.19,147.89,149.71,146.14876,60131800
2021-08-23,MSFT,303.25,305.4,301.85,304.65,292.9313,22830200
2021-08-23,SPY,445.16,448.23,443.44,447.26,418.02295,54973000
2021-08-24,AAPL,149.45,150.86,149.15,149.62,146.0609,48606400
2021-08-24,MSFT,305.02,305.65,302,302.62,290.97937,18175800
2021-08-24,SPY,447.97,448.54,447.42,447.97,418.68652,38744700
2021-08-25,AAPL,149.81,150.32,147.8,148.36,144.83089,58991300
2021-08-25,MSFT,304.3,304.59,300.42,302.01,290.3929,20006100
2021-08-25,SPY,448.17,449.46,447.77,448.91,419.5651,40529700
2021-08-26,AAPL,148.35,149.12,147.51,147.54,144.03036,48597200
2021-08-26,MSFT,300.99,302.43,298.95,299.09,287.5852,17666100
2021-08-26,SPY,448.61,448.86,446.16,446.26,417.08835,57829600
2021-08-27,AAPL,147.48,148.75,146.83,148.6,145.06514,55802400
2021-08-27,MSFT,298.99,300.87,296.83,299.72,288.19092,22605700
2021-08-27,SPY,447.12,450.65,447.06,450.25,420.8175,77235104
2021-08-30,AAPL,149,153.49,148.61,153.12,149.47765,90956704
2021-08-30,MSFT,301.12,304.22,301.06,303.59,291.91214,16348100
2021-08-30,SPY,450.97,453.07,450.71,452.23,422.6681,48357400
2021-08-31,AAPL,152.66,152.8,151.29,151.83,148.21832,86453104
2021-08-31,MSFT,304.42,304.5,301.5,301.88,290.26782,26285300
2021-08-31,SPY,452.13,452.49,450.92,451.56,422.04184,59300200
2021-09-01,AAPL,152.83,154.98,152.34,152.51,148.88211,80313696
2021-09-01,MSFT,302.87,305.19,301.49,301.83,290.21982,18983800
2021-09-01,SPY,452.56,453.11,451.55,451.8,422.26617,48721400
2021-09-02,AAPL,153.87,154.72,152.4,153.65,149.99501,71115504
2021-09-02,MSFT,302.2,303.36,300.18,301.15,289.566,16285600
2021-09-02,SPY,453.32,454.05,451.91,453.19,423.5653,42501000
2021-09-03,AAPL,153.76,154.63,153.09,154.3,150.62961,57808700
2021-09-03,MSFT,300.99,302.6,300.26,301.14,289.5564,14747900
2021-09-03,SPY,451.98,453.63,451.55,453.08,423.46246,47170500
2021-09-07,AAPL,154.97,157.26,154.39,156.69,152.96272,82278304
2021-09-07,MSFT,301.01,301.09,298.2,300.18,288.63327,17180400
2021-09-07,SPY,452.71,452.81,450.74,451.46,421.9484,51671500
2021-09-08,AAPL,156.98,157.04,153.98,155.11,151.42029,74420200
2021-09-08,MSFT,299.78,300.61,297.47,300.21,288.66208,15046800
2021-09-08,SPY,450.89,451.67,448.86,450.91,421.43436,56181900
2021-09-09,AAPL,155.49,156.11,153.95,154.07,150.40503,57305700
2021-09-09,MSFT,300.82,302.14,297,297.25,285.81604,19927000
2021-09-09,SPY,450.7,452.57,448.72,448.98,419.6305,57970400
2021-09-10,AAPL,155,155.48,148.7,148.97,145.42633,140893200
2021-09-10,MSFT,298.42,299.92,295.38,295.71,284.33517,19633400
2021-09-10,SPY,451.04,451.49,445.31,445.44,416.3219,89948200
2021-09-13,AAPL,150.63,151.42,148.75,149.55,145.99257,102404304
2021-09-13,MSFT,297.55,298.54,294.08,296.99,285.56598,23652900
2021-09-13,SPY,448.64,448.92,444.11,446.58,417.3873,83738600
2021-09-14,AAPL,150.35,151.07,146.91,148.12,144.59653,109296304
2021-09-14,MSFT,299.56,301.39,298.1,299.79,288.2583,21853400
2021-09-14,SPY,448.12,448.34,443.22,444.17,415.13498,78197104
2021-09-15,AAPL,148.56,149.44,146.37,149.03,145.48492,83281296
2021-09-15,MSFT,303.26,305.32,301.82,304.82,293.0948,28356300
2021-09-15,SPY,444.62,448.41,443.44,447.88,418.60248,78792200
2021-09-16,AAPL,148.44,148.97,147.22,148.79,145.25061,68034096
2021-09-16,MSFT,303.76,305.31,300.76,305.22,293.4794,19550800
2021-09-16,SPY,447.32,448.36,444.02,447.17,417.93878,77786704
2021-09-17,AAPL,148.82,148.82,145.76,146.06,142.58557,129868800
2021-09-17,MSFT,304.17,304.5,299.53,299.87,288.3352,41372500
2021-09-17,SPY,444.92,445.37,441.02,441.4,413.86774,118425000
2021-09-20,AAPL,143.8,144.84,141.27,142.94,139.53978,123478896
2021-09-20,MSFT,296.33,298.72,289.52,294.3,282.9794,38278700
2021-09-20,SPY,434.88,436.56,428.86,434.04,406.96677,166445504
2021-09-21,AAPL,143.93,144.6,142.78,143.43,140.0181,75834000
2021-09-21,MSFT,295.69,297.54,294.07,294.8,283.46027,22364100
2021-09-21,SPY,436.53,437.91,433.07,433.63,406.58237,92526096
2021-09-22,AAPL,144.45,146.43,143.7,145.85,142.38058,76404304
2021-09-22,MSFT,296.73,300.22,294.51,298.58,287.0948,26626300
2021-09-22,SPY,436.05,440.03,433.75,437.86,410.5485,102350096
2021-09-23,AAPL,146.65,147.08,145.64,146.83,143.33725,64838200
2021-09-23,MSFT,298.85,300.9,297.53,299.56,288.03714,18604600
2021-09-23,SPY,439.85,444.89,439.6,443.18,415.53662,76396000
2021-09-24,AAPL,145.66,147.47,145.56,146.92,143.4251,53477900
2021-09-24,MSFT,298.23,299.8,296.93,299.35,287.83514,14999000
2021-09-24,SPY,441.44,444.67,441.21,443.91,416.2212,62094800
2021-09-27,AAPL,145.47,145.96,143.82,145.37,141.91202,74150704
2021-09-27,MSFT,296.14,296.47,292.94,294.17,282.85446,23571700
2021-09-27,SPY,442.81,444.05,441.9,442.64,415.03036,61371100
2021-09-28,AAPL,143.25,144.75,141.69,141.91,138.53429,108972304
2021-09-28,MSFT,289.8,290.78,282.75,283.52,272.61417,43186200
2021-09-28,SPY,439.69,440.04,432.94,433.72,406.66675,130436304
2021-09-29,AAPL,142.47,144.45,142.03,142.83,139.43242,74602000
2021-09-29,MSFT,285.1,286.77,283.01,284,273.07565,26353700
2021-09-29,SPY,435.19,437.04,433.85,434.45,407.35123,82329200
2021-09-30,AAPL,143.66,144.38,141.28,141.5,138.13405,89056704
2021-09-30,MSFT,285.71,287.83,281.62,281.92,271.07562,32343600
2021-09-30,SPY,436.02,436.77,428.78,429.14,402.3724,140506000
2021-10-01,AAPL,141.9,142.92,139.11,142.65,139.25667,94639600
2021-10-01,MSFT,282.12,289.98,281.29,289.1,277.97943,30086300
2021-10-01,SPY,430.98,436.03,427.23,434.24,407.15427,129240096
2021-10-04,AAPL,141.76,142.21,138.27,139.14,135.83018,98322000
2021-10-04,MSFT,287.4,287.75,280.25,283.11,272.21988,31350700
2021-10-04,SPY,433,433.96,426.36,428.64,401.90363,128570000
2021-10-05,AAPL,139.49,142.24,139.36,141.11,137.7533,80861104
2021-10-05,MSFT,284.05,290.4,284.05,288.76,277.65262,24993000
2021-10-05,SPY,430.24,435.49,429.39,433.1,406.08542,90682496
2021-10-06,AAPL,139.47,142.15,138.37,142,138.62213,83221104
2021-10-06,MSFT,285.78,293.63,285.51,293.11,281.83524,28002600
2021-10-06,SPY,429.27,435.12,427.54,434.9,407.7731,113032200
2021-10-07,AAPL,143.06,144.22,142.72,143.29,139.88144,61732700
2021-10-07,MSFT,295.18,296.64,293.92,294.85,283.50827,20430500
2021-10-07,SPY,438.39,441.68,438.2,438.66,411.29855,72437504
2021-10-08,AAPL,144.03,144.18,142.56,142.9,139.50075,58773200
2021-10-08,MSFT,296.22,296.64,293.76,294.85,283.50827,17685700
2021-10-08,SPY,439.48,439.89,437.19,437.86,410.5485,74557400
2021-10-11,AAPL,142.27,144.81,141.81,142.81,139.41289,64452200
2021-10-11,MSFT,292.92,297.97,292.75,294.23,282.9122,19298600
2021-10-11,SPY,437.16,440.26,434.62,434.69,407.57623,65233300
2021-10-12,AAPL,143.23,143.25,141.04,141.51,138.14378,73035904
2021-10-12,MSFT,295.34,295.44,292.35,292.88,281.614,17974100
2021-10-12,SPY,435.67,436.1,432.78,433.62,406.57294,71181200
2021-10-13,AAPL,141.24,141.4,139.2,140.91,137.55807,78762704
2021-10-13,MSFT,294.91,297.28,293.49,296.31,284.9121,23416300
2021-10-13,SPY,434.71,436.05,431.54,435.18,408.0356,72974000
2021-10-14,AAPL,142.11,143.88,141.51,143.76,140.34024,69907104
2021-10-14,MSFT,299.21,303.27,297.83,302.75,291.10443,27262900
2021-10-14,SPY,439.08,442.66,438.58,442.5,414.8991,70236800
2021-10-15,AAPL,143.77,144.9,143.51,144.84,141.39459,67940304
2021-10-15,MSFT,302.34,304.45,300.52,304.21,292.50827,25384800
2021-10-15,SPY,444.75,446.26,444.09,445.87,418.05887,66260200
2021-10-18,AAPL,143.45,146.84,143.16,146.55,143.06389,85589200
2021-10-18,MSFT,303.57,308.21,302.69,307.29,295.46985,22729300
2021-10-18,SPY,443.97,447.55,443.27,447.19,419.29654,62213200
2021-10-19,AAPL,147.01,149.17,146.55,148.76,145.22136,76378896
2021-10-19,MSFT,308.35,309.3,307.22,308.23,296.37366,17682100
2021-10-19,SPY,448.92,450.71,448.27,450.64,422.5313,46996800
2021-10-20,AAPL,148.7,149.75,148.12,149.26,145.70943,58418800
2021-10-20,MSFT,309.21,309.7,306.11,307.41,295.58524,16537100
2021-10-20,SPY,451.13,452.73,451.01,452.41,424.1909,49571600
2021-10-21,AAPL,148.81,149.64,147.87,149.48,145.92424,61421000
2021-10-21,MSFT,307.17,311.02,306.36,310.76,298.80627,16918100
2021-10-21,SPY,451.77,453.83,451.31,453.59,425.29736,41305400
2021-10-22,AAPL,149.69,150.18,148.64,148.69,145.15303,58883400
2021-10-22,MSFT,310.4,311.09,307.8,309.16,297.26785,17449300
2021-10-22,SPY,453.13,454.67,451.05,453.12,424.85663,58845100
2021-10-25,AAPL,148.68,149.37,147.62,148.64,145.1042,50720600
2021-10-25,MSFT,309.36,309.4,306.46,308.13,296.27753,17554500
2021-10-25,SPY,454.28,455.9,452.39,455.55,427.13507,45214500
2021-10-26,AAPL,149.33,150.84,149.01,149.32,145.76804,60893400
2021-10-26,MSFT,311,312.4,308.6,310.11,298.18124,28107300
2021-10-26,SPY,457.2,458.49,455.56,455.96,427.5195,56075100
2021-10-27,AAPL,149.36,149.73,148.49,148.85,145.30923,56094900
2021-10-27,MSFT,316,326.1,316,323.17,310.73898,52588700
2021-10-27,SPY,456.45,457.16,453.86,453.94,425.62543,72438000
2021-10-28,AAPL,149.82,153.17,149.72,152.57,148.94077,100077904
2021-10-28,MSFT,324.33,324.87,321.36,324.35,311.87357,26297900
2021-10-28,SPY,455.46,458.4,455.45,458.32,429.73233,51437900
2021-10-29,AAPL,147.22,149.94,146.41,149.8,146.23665,124953200
2021-10-29,MSFT,324.13,332,323.9,331.62,318.86386,34766000
2021-10-29,SPY,455.87,459.56,455.56,459.25,430.60422,70162400
2021-11-01,AAPL,148.99,149.7,147.8,148.96,145.41656,74588304
2021-11-01,MSFT,331.36,331.49,326.37,329.37,316.7005,27073200
2021-11-01,SPY,460.3,460.7,458.2,460.04,431.34497,48433600
2021-11-02,AAPL,148.66,151.57,148.65,150.02,146.45137,69122000
2021-11-02,MSFT,330.31,333.45,330,333.13,320.3158,26487100
2021-11-02,SPY,460.22,462.23,460.08,461.9,433.08902,48908400
2021-11-03,AAPL,150.39,151.97,149.82,151.49,147.88643,54511500
2021-11-03,MSFT,333.9,334.9,330.65,334,321.15237,21500100
2021-11-03,SPY,461.3,465.15,460.83,464.72,435.7331,52509800
2021-11-04,AAPL,151.58,152.43,150.64,150.96,147.36903,60394600
2021-11-04,MSFT,332.89,336.54,329.51,336.44,323.49844,23992200
2021-11-04,SPY,465.36,467,464.99,466.91,437.78644,52847100
2021-11-05,AAPL,151.89,152.2,150.06,151.28,147.89694,65463900
2021-11-05,MSFT,338.51,338.79,334.42,336.06,323.1331,22570100
2021-11-05,SPY,469.28,470.65,466.92,468.53,439.30545,66390600
2021-11-08,AAPL,151.41,151.57,150.16,150.44,147.07573,55020900
2021-11-08,MSFT,337.3,337.65,334.44,336.99,324.0274,20897000
2021-11-08,SPY,469.7,470.23,468.2,468.93,439.6805,50405200
2021-11-09,AAPL,150.2,151.43,150.06,150.81,147.43747,56787900
2021-11-09,MSFT,337.11,338.72,334.53,335.95,323.02734,21307400
2021-11-09,SPY,469.32,469.57,465.88,467.38,438.2272,51149100
2021-11-10,AAPL,150.02,150.13,147.85,147.92,144.61209,65187100
2021-11-10,MSFT,334.57,334.63,329.92,330.8,318.07538,25500900
2021-11-10,SPY,465.58,467.38,462.04,463.62,434.70166,69429696
2021-11-11,AAPL,148.96,149.43,147.68,147.87,144.56316,41000000
2021-11-11,MSFT,331.25,333.77,330.51,332.43,319.6428,16849800
2021-11-11,SPY,465.21,465.29,463.75,463.77,434.8423,34848500
2021-11-12,AAPL,148.43,150.4,147.48,149.99,146.6358,63804000
2021-11-12,MSFT,333.92,337.23,333.79,336.72,323.76773,23831000
2021-11-12,SPY,465.12,467.86,464.11,467.27,438.12393,53466700
2021-11-15,AAPL,150.37,151.88,149.43,150,146.64557,59222800
2021-11-15,MSFT,337.54,337.88,334.03,336.07,323.14273,16723000
2021-11-15,SPY,468.64,468.81,466.23,467.43,438.27405,46980500
2021-11-16,AAPL,149.94,151.49,149.34,151,147.62323,59256200
2021-11-16,MSFT,335.68,340.67,335.51,339.51,326.45044,20886800
2021-11-16,SPY,467.15,470.49,467.07,469.28,440.0086,48857500
2021-11-17,AAPL,151,155,150.99,153.49,150.05754,88807000
2021-11-17,MSFT,338.94,342.19,338,339.12,326.672,19053400
2021-11-17,SPY,469,469.19,467.48,468.14,438.93973,47858300
2021-11-18,AAPL,153.71,158.67,153.05,157.87,154.33957,137827696
2021-11-18,MSFT,338.18,342.45,337.12,341.27,328.743,22463500
2021-11-18,SPY,469.24,470.01,466.34,469.73,440.43063,50625600
2021-11-19,AAPL,157.65,161.02,156.53,160.55,156.95964,117305600
2021-11-19,MSFT,342.64,345.1,342.2,343.11,330.51544,21963400
2021-11-19,SPY,469.61,470.94,468.5,468.89,439.643,57315600
2021-11-22,AAPL,161.68,165.7,161,161.02,157.41914,117467904
2021-11-22,MSFT,344.62,349.67,339.55,339.83,327.35583,31031100
2021-11-22,SPY,470.89,473.54,467.35,467.57,438.4053,72762000
2021-11-23,AAPL,161.12,161.8,159.06,161.41,157.80042,96041904
2021-11-23,MSFT,337.05,339.45,333.56,337.68,325.2848,30427600
2021-11-23,SPY,467.22,469.1,464.45,468.19,438.98663,73206496
2021-11-24,AAPL,160.75,162.14,159.64,161.94,158.31854,69463600
2021-11-24,MSFT,336.28,338.16,333.91,337.91,325.50638,21661300
2021-11-24,SPY,466.06,469.57,465.19,469.44,440.15863,61858800
2021-11-26,AAPL,159.57,160.45,156.36,156.81,153.30327,76959800
2021-11-26,MSFT,334.35,337.93,328.12,329.68,317.57846,24217200
2021-11-26,SPY,462.34,463.9,457.77,458.97,430.34174,112669600
2021-11-29,AAPL,159.37,161.19,158.79,160.24,156.65659,88748200
2021-11-29,MSFT,334.94,339.03,334.74,336.63,324.27338,28563500
2021-11-29,SPY,464.07,466.56,461.73,464.6,435.6206,86268800
2021-11-30,AAPL,159.99,165.52,159.92,165.3,161.6034,174048096
2021-11-30,MSFT,335.32,337.78,328.99,330.59,318.455,42885600
2021-11-30,SPY,462,464.03,455.3,455.56,427.1444,148559600
2021-12-01,AAPL,167.48,170.3,164.53,164.77,161.08527,152052496
2021-12-01,MSFT,335.13,339.28,329.39,330.08,317.96375,33337600
2021-12-01,SPY,461.64,464.67,450.29,450.5,422.40005,131939200
2021-12-02,AAPL,158.74,164.2,157.8,163.76,160.09785,136739200
2021-12-02,MSFT,330.3,333.49,327.8,329.49,317.39545,30766000
2021-12-02,SPY,450.73,459.07,450.31,457.4,428.86978,127637800
2021-12-03,AAPL,164.02,164.96,159.72,161.84,158.22083,118023104
2021-12-03,MSFT,331.99,332.7,318.03,323.01,311.15326,41779300
2021-12-03,SPY,459.17,460.3,448.92,453.42,425.13794,137331600
2021-12-06,AAPL,164.29,167.88,164.28,165.32,161.62297,107497000
2021-12-06,MSFT,323.95,327.45,319.23,326.19,314.21658,30032600
2021-12-06,SPY,456.13,460.79,453.56,458.79,430.17297,98977504
2021-12-07,AAPL,169.08,171.58,168.34,171.18,167.35194,120405400
2021-12-07,MSFT,331.64,335.8,330.1,334.92,322.62613,31021900
2021-12-07,SPY,464.41,468.88,458.65,468.28,439.07104,95484704
2021-12-08,AAPL,172.13,175.96,170.7,175.08,171.1647,116998896
2021-12-08,MSFT,335.31,335.5,330.8,334.97,322.67432,24761000
2021-12-08,SPY,468.7,470,466.83,469.52,440.2337,72238800
2021-12-09,AAPL,174.91,176.75,173.92,174.56,170.65631,108923696
