pickup_hour,Trips
0,65067
1,43652
2,29425
3,19134
4,12324
5,15370
6,34857
7,74081
8,105731
9,122111
10,133500
11,144510
12,156972
13,165811
14,178651
15,188025
16,190564
17,206772
18,205792
19,174496
20,157796
21,161389
22,134057
23,94271
